BlockSeg,Schedulers,Width,AbsorbSize,TotalTime,TimeStep,OutputTime
8,dmdar,552,8,0.001,0.0001,0.002
6,lws,552,8,0.001,0.0001,0.002
12,lws,552,8,0.001,0.0001,0.002
2,lws,552,8,0.001,0.0001,0.002
3,lws,552,8,0.001,0.0001,0.002
6,dmdar,552,8,0.001,0.0001,0.002
12,dmdar,552,8,0.001,0.0001,0.002
3,dmdar,552,8,0.001,0.0001,0.002
18,dmdar,552,8,0.001,0.0001,0.002
4,lws,552,8,0.001,0.0001,0.002
9,dmdar,552,8,0.001,0.0001,0.002
8,lws,552,8,0.001,0.0001,0.002
4,dmdar,552,8,0.001,0.0001,0.002
2,dmdar,552,8,0.001,0.0001,0.002
9,lws,552,8,0.001,0.0001,0.002
16,dmdar,552,8,0.001,0.0001,0.002
18,lws,552,8,0.001,0.0001,0.002
16,lws,552,8,0.001,0.0001,0.002
